Lat,Lng,SubCategory,Distance to light
37.22211238,-121.8715878,ACC-Accident Complaint,0.013834
37.22786368,-121.8037517,ACC-Accident Complaint,0.0266243
37.24331705,-121.8092676,ACC-Accident Complaint,0.0214365
37.24846553,-121.8325794,ACC-Accident Complaint,4.81E-06
37.25145945,-121.8174936,ACC-Accident Complaint,0.0133415
37.2673037,-121.9253994,ACC-Accident Complaint,0.006067
37.27071411,-121.905793,ACC-Accident Complaint,0.0214232
37.27118963,-121.8685302,ACC-Accident Complaint,0.0445361
37.2733792,-121.8132694,ACC-Accident Complaint,0.0152062
37.27590037,-121.9225467,ACC-Accident Complaint,0.1157372
37.27706661,-121.9100764,ACC-Accident Complaint,0.0907914
37.28861467,-121.8795332,ACC-Accident Complaint,0.0468518
37.29219582,-121.881072,ACC-Accident Complaint,0.0100898
37.29375094,-121.9794246,ACC-Accident Complaint,0.1440647
37.29513447,-121.8350277,ACC-Accident Complaint,0.002217701
37.3022892,-122.0322507,ACC-Accident Complaint,0.0013322
37.30755452,-121.8740644,ACC-Accident Complaint,0.0564363
37.31009305,-122.017789,ACC-Accident Complaint,0.0484457
37.31146929,-121.8423157,ACC-Accident Complaint,0.0436947
37.31396582,-121.791524,ACC-Accident Complaint,0.081458
37.31431697,-121.9767949,ACC-Accident Complaint,0.1586524
37.31708546,-121.7909276,ACC-Accident Complaint,0.0647587
37.3236988,-121.8740779,ACC-Accident Complaint,0.0482924
37.32709153,-121.9116567,ACC-Accident Complaint,0.1337002
37.33201663,-121.886017,ACC-Accident Complaint,0.1031691
37.33273611,-121.8536385,ACC-Accident Complaint,0.0199087
37.33420116,-121.9151968,ACC-Accident Complaint,0.0699314
37.33461903,-121.7756954,ACC-Accident Complaint,0.0544611
37.34478663,-121.8655736,ACC-Accident Complaint,0.006107302
37.34511708,-121.8171738,ACC-Accident Complaint,0.0592547
37.35487536,-121.9002284,ACC-Accident Complaint,0.0573172
37.36663749,-121.9015728,ACC-Accident Complaint,0.007720901
